Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-05-04,19857.859738372095,20138.8671875,19701.74448885659,20138.8671875,14702750,0.0,0.0
2016-05-09,20138.865428334295,20294.980664212853,20060.807810395014,20279.369140625,13718100,0.0,0.0
2016-05-10,20279.373643663195,20294.985170717595,20107.646846064814,20232.5390625,8559550,0.0,0.0
2016-05-11,20232.54181985294,20279.376407398897,20092.03805721507,20170.095703125,8834400,0.0,0.0
2016-05-12,20170.088084260344,20170.088084260344,19904.692188414814,19998.361328125,7615100,0.0,0.0
2016-05-13,19998.370908257682,19998.370908257682,19530.024985347667,19561.248046875,12284900,0.0,0.0
2016-05-16,19561.241220327523,19717.356473482574,19467.572068434496,19483.18359375,11720150,0.0,0.0
2016-05-17,19498.79586135285,19748.58027590981,19498.79586135285,19732.96875,9183550,0.0,0.0
2016-05-18,19732.967961356466,19842.24863835765,19592.464233783518,19795.4140625,9169600,0.0,0.0
2016-05-19,19795.419518946852,19935.923285248526,19764.1964597687,19826.642578125,10012450,0.0,0.0
2016-05-20,19826.63496109141,19982.750197005516,19811.0234375,19811.0234375,7960550,0.0,0.0
2016-05-23,19811.02594041602,20076.421875,19811.02594041602,20076.421875,8112550,0.0,0.0
2016-05-24,20076.422895357984,20123.25747442958,19795.415420928402,19842.25,10434600,0.0,0.0
2016-05-25,20029.591342905405,20263.76427364865,19889.08758445946,20216.9296875,11862750,0.0,0.0
2016-05-26,20279.373643663195,20341.819751880786,20216.927535445604,20232.5390625,12653650,0.0,0.0
2016-05-27,20294.987994832292,20310.59952405909,19873.476705708854,20013.98046875,13744550,0.0,0.0
2016-05-30,20248.14787750244,20248.14787750244,19889.08280334473,19982.751953125,10315350,0.0,0.0
2016-05-31,19982.757352941175,20294.98793658088,19795.419002757353,20170.095703125,62527700,0.0,0.0
2016-06-01,20263.7606550075,20935.056269926856,20216.92607722243,20810.1640625,23504000,0.0,0.0
2016-06-02,21075.55953811813,21419.013100961536,21013.113435782965,21309.732421875,23806950,0.0,0.0
2016-06-03,21387.7915787264,21528.2953190246,21294.122418527597,21497.072265625,17066200,0.0,0.0
2016-06-07,21637.571871646996,21887.356251117668,21543.902729345493,21824.91015625,23142150,0.0,0.0
2016-06-08,22152.75648865354,22152.75648865354,21684.410685510757,21949.806640625,18808100,0.0,0.0
2016-06-09,21981.03076923077,22324.484375,21949.80771416084,22324.484375,25768750,0.0,0.0
2016-06-10,22230.81412251067,22246.425649282097,21918.58358708215,21949.806640625,14484050,0.0,0.0
2016-06-13,21793.692486095915,21793.692486095915,21262.90054875547,21403.404296875,15248300,0.0,0.0
2016-06-14,21403.40057319973,21637.57344599185,21372.177523494112,21543.904296875,12273050,0.0,0.0
2016-06-15,21621.961301032818,22105.918557590234,21590.738252222665,22059.083984375,15334450,0.0,0.0
2016-06-16,22059.088689063607,22121.534800002217,21778.081189839868,21996.642578125,14621550,0.0,0.0
2016-06-17,22012.25268178033,22402.540849897003,22012.25268178033,22262.037109375,16419700,0.0,0.0
2016-06-20,22277.645698211476,22605.48771619497,22262.0341735456,22340.091796875,13515800,0.0,0.0
2016-06-21,22355.700017265193,22621.095897358424,22262.03088311464,22605.484375,10020550,0.0,0.0
2016-06-22,22574.267776816607,22636.713884083045,22340.094874567472,22558.65625,8948250,0.0,0.0
2016-06-23,22543.04576048951,22558.657288024475,22277.649792395106,22324.484375,11256300,0.0,0.0
2016-06-24,22558.653383091518,22558.653383091518,21231.67377232143,21856.134765625,20552600,0.0,0.0
2016-06-27,21856.133203683832,21934.190822268418,21621.96034793008,21824.91015625,11839000,0.0,0.0
2016-06-28,21700.021653301465,21918.58302247141,21528.294863239367,21840.525390625,10718950,0.0,0.0
2016-06-29,21996.75358166189,22059.244358882523,21731.167778474213,21809.28125,10527050,20.0,0.0
2016-06-30,21996.750175438596,22574.7897752193,21824.900564692984,22262.3359375,13671700,0.0,0.0
